author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
Raden Jihad Akbar,Fadli Zon: Kemanan Siber Kita Amatiran,"Anggota Komisi I DPR RI Fraksi Partai Gerindra, Fadli Zon menyoroti maraknya serangan hacker yang terjadi saat ini.",https://www.viva.co.id/berita/nasional/1520602-fadli-zon-kemanan-siber-kita-amatiran,https://thumb.viva.co.id/media/frontend/thumbs3/2019/11/26/5ddcd24694576-wakil-ketua-umum-gerindra-fadli-zon_665_374.jpg,2022-09-13T16:12:03Z,"VIVA  Anggota Komisi I DPR RI Fraksi Partai Gerindra, Fadli Zon menyoroti hacker bernama Bjorka yang telah membobol dan membocorkan sejumlah data atau dokumen penting di Indonesia.
Bukan hanya data,… [+1486 chars]",NA,Viva.co.id
Muhammad Naufal,BSSN Akui Sistem Keamanan Siber Indonesia Masih Rentan,Badan Siber dan Sandi Nasional (BSSN) mengakui sistem keamanan teknologi dan informasi di Indonesia masih belum cukup kuat dan masih ada kerentanan.,https://www.viva.co.id/digital/digilife/1520549-bssn-akui-sistem-keamanan-siber-indonesia-masih-rentan,https://thumb.viva.co.id/media/frontend/thumbs3/2022/09/13/63203af9cc249-kepala-bssn-hinsa-siburian_665_374.jpeg,2022-09-13T13:03:02Z,VIVA Tekno  Badan Siber dan Sandi Nasional (BSSN) mengakui sistem keamanan teknologi dan informasi di Indonesia masih belum cukup kuat dan masih ada kerentanan. Hal ini diungkapkan oleh Kepala BSSN H… [+1155 chars],NA,Viva.co.id
Misrohatun Hasanah,Hacker Bjorka Diyakini Berasal dari Indonesia,Pengguna Twitter dengan nama @angelinadeaid yakin jika hacker Bjorka berasal dari Indonesia. Ia melihat dari sejumlah kata-kata yang ditulis Bjorka atau lexicon.,https://www.viva.co.id/digital/digilife/1520487-hacker-bjorka-diyakini-berasal-dari-indonesia,https://thumb.viva.co.id/media/frontend/thumbs3/2022/09/13/63203be49046e-header-twitter-bjorka-dan-cober-album-bjork-fossora_665_374.jpeg,2022-09-13T10:08:02Z,"VIVA Tekno  Pengguna Twitter dengan nama @angelinadeaid yakin jika hacker Bjorka berasal dari Indonesia. Dia melihat dari sejumlah kata-kata yang ditulis Bjorka atau lexicon (collections of words).
… [+1290 chars]",NA,Viva.co.id
Muhammad Naufal,BSSN: Pencurian Data itu Intensitas Rendah Sebenarnya,Badan Siber dan Sandi Negara (BSSN) mengungkap bahwa pencurian data hanya masuk dalam klasifikasi serangan siber rendah.,https://www.viva.co.id/digital/digilife/1520439-bssn-pencurian-data-itu-intensitas-rendah-sebenarnya,https://thumb.viva.co.id/media/frontend/thumbs3/2022/09/13/63203af9cc249-kepala-bssn-hinsa-siburian_665_374.jpeg,2022-09-13T09:03:02Z,"VIVA Tekno  Badan Siber dan Sandi Negara (BSSN) mengungkap bahwa pencurian data seperti yang dilakukan hacker Bjorka hanya masuk dalam klasifikasi serangan rendah.
Hal ini disampaikan oleh Kepala BS… [+1439 chars]",NA,Viva.co.id
Lazuardhi Utama,"Hacker Bjorka Pengagum Bjork, Ini Buktinya",Ada kemungkinan penamaan hacker 'Bjorka' terinspirasi dari Bjork. Peretas hitam itu sudah melakukan 'doxing' terhadap beberapa pejabat pemerintah Indonesia.,https://www.viva.co.id/digital/digilife/1520447-hacker-bjorka-pengagum-bjork-ini-buktinya,https://thumb.viva.co.id/media/frontend/thumbs3/2022/09/13/63203c795eee0-kiri-cover-album-bjork-utopia-kanan-avatar-twitter-bjorka_665_374.jpeg,2022-09-13T08:33:57Z,"VIVA Tekno  HackerBjorka tengah menjadi pembicaraan di Indonesia. Peretas hitam itu sudah melakukan doxing atau pembukaan data pribadi terhadap beberapa pejabat pemerintah, selain menjual data pribad… [+1161 chars]",NA,Viva.co.id
Bayu Nugraha,Siber Polri Ikut Usut Dugaan Kebocoran Data oleh Hacker Bjorka,Presiden Jokowi membentuk tim khusus (timsus) terkait serangan siber dan kebocoran data yang dilakukan hacker Bjorka.,https://www.viva.co.id/berita/nasional/1520390-siber-polri-ikut-usut-dugaan-kebocoran-data-oleh-hacker-bjorka,https://thumb.viva.co.id/media/frontend/thumbs3/2022/09/11/631d4d249efba-hacker-bjorka_665_374.jpeg,2022-09-13T08:00:03Z,VIVA Nasional Dugaan bocornya data negara hingga beberapa pejabat yang dilakukan seorang hacker bernama Bjorka terus menjadi perbincangan publik. Direktorat Tindak Pidana Siber (Dittipidsiber) Baresk… [+1123 chars],NA,Viva.co.id
Mochammad Fajar Nur,"Geger Luhut dkk Belum Booster COVID, Kemenkes: Datanya Belum Tentu Asli",Hacker Bjorka belakangan bikin heboh karena membagikan data vaksinasi yang diduga milik para pejabat. Juru bicara Kementerian Kesehatan RI buka suara.,https://health.detik.com/berita-detikhealth/d-6289003/geger-luhut-dkk-belum-booster-covid-kemenkes-datanya-belum-tentu-asli,https://awsimages.detik.net.id/api/wm/2022/05/24/luhut-binsar-pandjaitan-1_169.jpeg?wid=54&w=650&v=1&t=jpeg,2022-09-13T07:34:59Z,"Jakarta - Hacker Bjorka belakangan membuat heboh karena membagikan data pribadi yang diduga milik para pejabat. Berdasarkan data Bjorka, terdapat nama-nama menteri yang belum booster atau vaksin keti… [+1987 chars]",NA,Detik.com
Dedi,Bjorka Bongkar Data Ketua Umum PSSI Singgung Terima Duit dari Bos Judi,"Hacker Bjorka kembali membuat heboh publik dengan kehadiran akun barunya di media sosial Twitter. Terkini, ia mengunggah data pribadi milik Ketum PSSI, Iwan Bule.",https://www.viva.co.id/bola/liga-indonesia/1520356-bjorka-bongkar-data-ketua-umum-pssi-singgung-terima-duit-dari-bos-judi,https://thumb.viva.co.id/media/frontend/thumbs3/2022/09/11/631d4d249efba-hacker-bjorka_665_374.jpeg,2022-09-13T06:19:26Z,"VIVA Bola  Hacker Bjorka kembali membuat heboh publik dengan kehadiran akun barunya di media sosial Twitter. Sebelumnya, akun milik Bjorka sudah ditangguhkan oleh pihak Twitter, tapi kini kembali had… [+1267 chars]",NA,Viva.co.id
Anwar Sadat,"Hadapi Serangan Bjorka, DPR Minta Timsus Diisi Orang-orang Kompeten","DPR meminta tim khusus bentukan pemerintah untuk menghadapi serangan siber seperti yang dilakukan oleh Bjorka, diisi orang yang kompeten dan ahli di bidang teknologi",https://www.viva.co.id/berita/nasional/1520335-hadapi-serangan-bjorka-dpr-minta-timsus-diisi-orang-orang-kompeten,https://thumb.viva.co.id/media/frontend/thumbs3/2022/08/08/62f088fe2f435-sukamta-anggota-komisi-i-dpr-ri-sekaligus-wakil-ketua-fraksi-pks-dpr-ri_665_374.jpg,2022-09-13T05:18:12Z,"VIVA Nasional  Wakil Ketua Fraksi PKS DPR RI Sukamta, meminta tim khusus bentukan pemerintah untuk menghadapi serangan siber diisi orang yang kompeten dan ahli di bidang teknologi. Sukamta mengatakan… [+998 chars]",NA,Viva.co.id
Suci Risanti Rahmadania,Fakta-fakta Bjorka Hacker Buka Data Luhut dkk Belum Booster COVID,Baru-baru ini heboh data Bjorka hacker menyebut para menteri bahkan DPR belum divaksinasi booster atau vaksin dosis ketiga. Bagaimana faktanya?,https://health.detik.com/berita-detikhealth/d-6288612/fakta-fakta-bjorka-hacker-buka-data-luhut-dkk-belum-booster-covid,https://awsimages.detik.net.id/api/wm/2021/12/01/rakornas-5-dsp-1_169.jpeg?wid=54&w=650&v=1&t=jpeg,2022-09-13T05:07:52Z,"Jakarta - Baru-baru ini heboh terkait data pribadi para menteri hingga Ketua Dewan Perwakilan Rakyat (DPR RI) bocor di media sosial, disebut-sebut berasal dari Bjorka hacker. Awalnya, data tersebut d… [+2731 chars]",NA,Detik.com
Muhammad Naufal,Tanggapan Hacker Bjorka Terhadap Timsus Bentukan Presiden Jokowi,Hacker Bjorka ikut menanggapi dibentuknya tim khusus oleh Presiden Joko Widodo menanggapi serangan siber baru-baru ini.,https://www.viva.co.id/digital/digilife/1520273-tanggapan-hacker-bjorka-terhadap-timsus-bentukan-presiden-jokowi,https://thumb.viva.co.id/media/frontend/thumbs3/2022/09/11/631d4d249efba-hacker-bjorka_665_374.jpeg,2022-09-13T04:35:05Z,"VIVA Tekno  Hacker Bjorka ikut menanggapi dibentuknya tim khusus oleh Presiden Joko Widodo (Jokowi) menanggapi serangan siber baru-baru ini.
Hal tersebut diungkapkannya melalui akun Twitter-nya yang… [+1162 chars]",NA,Viva.co.id
Nafilah Sri Sagita K,Respons Epidemiolog soal Bjorka Bocorkan Data Luhut dkk Disebut Belum Booster,Pakar epidemiologi Pandu Riono merespons viral Bjorka membocorkan sejumlah data para menteri yang membuat netizen menduga beberapa di antaranya belum booster.,https://health.detik.com/berita-detikhealth/d-6288482/respons-epidemiolog-soal-bjorka-bocorkan-data-luhut-dkk-disebut-belum-booster,https://awsimages.detik.net.id/api/wm/2022/09/01/menko-luhut-di-banyuwangi_169.jpeg?wid=54&w=650&v=1&t=jpeg,2022-09-13T04:09:05Z,"Jakarta - Epidemiolog Pandu Riono dari Fakultas Kesehatan Masyarakat (FKM) Universitas Indonesia ikut merespons viral dugaan data para menteri bocor diunggah hacker Bjorka. Menurutnya, data tersebut … [+1508 chars]",NA,Detik.com
NA,Tentang Kebocoran Data,Aku mencoba membeli data yang dibocorkan Bjorka untuk mengetahui apakah informasi tersebut benar a..,https://togetter.com/li/1943917,https://s.togetter.com/ogp/6a973aa830deb3f5b2b6052332134d4e-1200x630.png,2022-09-12T12:08:20Z,"Khakim Hudaya@huedaya
Sebetulnya aku tidak ingin membahas tentang ini karena masih kurang informasi dari dua pihak. 
Namun karena masih terkait dengan teknologi terutama keamanan data, jadi seperti… [+3429 chars]",NA,Togetter.com
Deddy Setiawan,Bjorka Sentil Tito Karnavian dan Kapolri soal Ferdy Sambo,"Bjorka kembali menjadi trending topik di Twitter dan terus membongkar informasi aktual tentang kondisi yang terjadi di Indonesia, kini dia menyentil Tito Karnavian",https://www.viva.co.id/berita/nasional/1520033-bjorka-sentil-tito-karnavian-dan-kapolri-soal-ferdy-sambo,https://thumb.viva.co.id/media/frontend/thumbs3/2022/02/23/6215eda810548-mendagri-muhammad-tito-karnavian_665_374.jpeg,2022-09-12T11:29:40Z,"VIVA Nasional  Nama Bjorka kembali menjadi trending topik di Twitter dan terus membongkar informasi aktual tentang kondisi yang terjadi di Indonesia. Sempat disuspended, akun Twitter milik Bjorka kem… [+1104 chars]",NA,Viva.co.id
Anwar Sadat,"Usai Diserang Hacker Bjorka, Pemerintah RI Bentuk Tim Khusus","Pemerintah RI juga akan membentuk tim untuk mencegah pencurian data kembali terulang. Tim khusus ini terdiri dari BSSN, Kemenkominfo, hingga BIN",https://www.viva.co.id/berita/nasional/1520062-usai-diserang-hacker-bjorka-pemerintah-ri-bentuk-tim-khusus,https://thumb.viva.co.id/media/frontend/thumbs3/2022/09/09/631b13e897749-menteri-komunikasi-dan-informatika-johnny-g-plate_665_374.jpeg,2022-09-12T11:18:43Z,"VIVA Nasional  PresidenJokowi menggelar rapat terbatas bersama sejumlah Menteri Kabinet Indonesia Maju di Istana Merdeka, Jakarta, pada Senin, 12 September 2022. Dalam kesempatan itu, Jokowi menginst… [+1640 chars]",NA,Viva.co.id
Hardani Triyoga,"Berkaca Kasus Bjorka, KPU Diminta Perkuat Sistem Keamanan Data Pemilih",Kasus hacker bjorka membuat heboh publik karena diduga meretas data pribadi masyarakat dan sejumlah pejabat.,https://www.viva.co.id/berita/politik/1520011-berkaca-kasus-bjorka-kpu-diminta-perkuat-sistem-keamanan-data-pemilih,https://thumb.viva.co.id/media/frontend/thumbs3/2020/02/03/5e3765a6436ee-ahmad-doli-kurnia_665_374.jpg,2022-09-12T10:00:03Z,VIVA Politik - Ketua Komisi II DPR Ahmad Doli Kurnia meminta Komisi Pemilihan Umum (KPU) RI agar memperkuat sistem keamanan data pemilih agar tidak mudah diretas dan bocor ke publik. Doli mengingatka… [+1315 chars],NA,Viva.co.id
Anwar Sadat,Kasetpres Jamin Data Jokowi Aman Dari Serangan Hacker,Kasetpres Heru Budi Hartono menjamin data Presiden Jokowi saat ini masih aman dan tidak dapat diretas oleh hacker karena memiliki pengamanan berlapis.,https://www.viva.co.id/berita/nasional/1520014-kasetpres-jamin-data-jokowi-aman-dari-serangan-hacker,https://thumb.viva.co.id/media/frontend/thumbs3/2022/08/01/62e74f3ed1566-kepala-sekretariat-presiden-kasetpres-heru-budi-hartono_665_374.jpg,2022-09-12T09:50:53Z,"VIVA Nasional  Kepala Sekretariat Presiden Heru Budi Hartono, angkat bicara mengenai adanya serangan hacker Bjorka yang mengklaim telah meretas data pribadi sejumlah pejabat negara dan juga surat men… [+1306 chars]",NA,Viva.co.id
Muhammad Naufal,"5 Hacker yang Menggemparkan Indonesia, Bjorka Terbaru","Selain Bjorka, terdapat hacker-hacker lainnya yang membuat geger Indonesia. Ada yang berniat baik, ada juga yang jahat. Berikut daftarnya.",https://www.viva.co.id/digital/teknopedia/1519942-hacker-yang-menggemparkan-indonesia-bjorka-terbaru,https://thumb.viva.co.id/media/frontend/thumbs3/2019/04/10/5cadacf0bfcc7-hacker_665_374.jpg,2022-09-12T08:52:01Z,"VIVA Tekno  Kasus kebocoran data pribadi, doxing terhadap pejabat negara, dan peretasan tengah marak terjadi di Indonesia.
Salah satu hacker yang tidak mungkin luput dari lampu sorot dari berbagai k… [+730 chars]",NA,Viva.co.id
Donny Adhiyasa,"Nama Anaknya Sama dengan Hacker Bjorka, Ini Reaksi Ringgo Agus Rahman",Ringgo Agus Rahman berkelakar jika sang anak secara tiba-tiba menawarkan data-data kepada dirinya dan juga meminta untuk mempelajari koding lebih dalam.,https://www.viva.co.id/showbiz/gosip/1519977-nama-anaknya-sama-dengan-hacker-bjorka-ini-reaksi-ringgo-agus-rahman,https://thumb.viva.co.id/media/frontend/thumbs3/2022/05/11/627b44c13100a-ringgo-agus-bersama-sabai-morscheck-dan-kedua-anaknya_665_374.jpeg,2022-09-12T08:46:36Z,"VIVA Showbiz Belum lama ini, jagat jejaring media sosial sontak dihebohkan dengan aksi seorang hacker yang mengungkap dugaan data dari sejumlah instasi pemerintahan Indonesia. Hacker berlabel Hacker … [+1274 chars]",NA,Viva.co.id
Nuvola Gloria,"Geger Bjorka, Ringgo Agus Rahman Ketar-ketir: Jangan Aneh-aneh Nak","Ringgo Agus Rahman memiliki seorang putra bernama Bjorka, yang sama dengan sebutan hacker BJorka yang tengah ramai dibahas saat ini di media sosial.",https://www.viva.co.id/showbiz/gosip/1519938-bjorka-bikin-geger-rumah-ringgo-agus-rahman-dibanjiri-tukang-nasgor,https://thumb.viva.co.id/media/frontend/thumbs3/2022/05/11/627b44c13100a-ringgo-agus-bersama-sabai-morscheck-dan-kedua-anaknya_665_374.jpeg,2022-09-12T08:02:28Z,"VIVA Showbiz  Hacker Bjorka bikin geger negara dan media sosial. Bagaimana tidak, hacker satu ini membocorkan berbagai data termasuk orang nomor satu di Indonesia Joko Widodo hingga pejabat lainnya s… [+1480 chars]",NA,Viva.co.id
Misrohatun Hasanah,"Turuti Denny Siregar, Bjorka Beberkan Data Pribadi Anies Baswedan","Hacker Bjorka pekan kemarin menyindir pegiat media sosial Denny Siregar yang kemudian menjadi trending topic di Twitter. Kini, Gubernur DKI Jakarta Anies Baswedan.",https://www.viva.co.id/digital/digilife/1519894-turuti-denny-siregar-bjorka-beberkan-data-pribadi-anies-baswedan,https://thumb.viva.co.id/media/frontend/thumbs3/2021/05/28/60b07ac4eff02-hacker_665_374.jpg,2022-09-12T07:32:02Z,VIVA Tekno  Hacker Bjorka pekan kemarin menyindir pegiat media sosial Denny Soregar yang kemudian menjadi trending topic di Twitter. Bjorka menyebut Denny hidup menggunakan uang pajak dari rakyat Ind… [+983 chars],NA,Viva.co.id
